fingerprint,time,song
4210690,69, The_last_ones
4211714,110, The_last_ones
4212738,110, The_last_ones
4213762,109, cross_pollination
4214786,82, The_last_ones
4215810,65, cross_pollination
4216834,3, Night_Owl
4217858,3, Night_Owl
6306818,97, Never_Really_Change
9444354,85, Never_Really_Change
4194314,120, cross_pollination
4195338,95, cross_pollination
4201482,113, cross_pollination
4202506,123, Born_Ready
4203530,107, cross_pollination
4209674,69, The_last_ones
4210698,69, The_last_ones
4211722,110, The_last_ones
4212746,110, The_last_ones
4213770,83, Never_Really_Change
4214794,82, The_last_ones
4215818,117, Night_Owl
4216842,3, Night_Owl
4217866,3, Night_Owl
6306826,117, Night_Owl
9444362,94, Never_Really_Change
4194315,106, Never_Really_Change
4195339,106, Never_Really_Change
4201483,113, cross_pollination
4202507,106, Never_Really_Change
4203531,106, Never_Really_Change
4209675,69, The_last_ones
4210699,69, The_last_ones
4211723,110, The_last_ones
4212747,110, The_last_ones
4213771,116, Night_Owl
4214795,83, The_last_ones
4215819,113, cross_pollination
4216843,3, Night_Owl
4217867,3, Night_Owl
6306827,68, The_last_ones
9444363,85, Never_Really_Change
5250048,104, Never_Really_Change
8392704,20, The_last_ones
8393728,101, Never_Really_Change
8394752,83, Never_Really_Change
8399872,117, The_last_ones
8400896,117, The_last_ones
8401920,20, The_last_ones
2112513,124, Never_Really_Change
5250049,85, Never_Really_Change
8392705,85, Never_Really_Change
8393729,10, Never_Really_Change
8394753,116, Never_Really_Change
8399873,116, Never_Really_Change
8400897,79, Never_Really_Change
8401921,116, Never_Really_Change
2112519,2, Night_Owl
5250055,104, Never_Really_Change
8392711,104, Never_Really_Change
8393735,64, cross_pollination
8394759,68, cross_pollination
8399879,41, Never_Really_Change
8400903,94, Never_Really_Change
8401927,94, Never_Really_Change
5250056,89, Never_Really_Change
8392712,85, Never_Really_Change
8393736,90, cross_pollination
8394760,102, Never_Really_Change
8399880,102, Never_Really_Change
8400904,79, Never_Really_Change
8401928,79, Never_Really_Change
2112521,87, cross_pollination
5250057,49, Never_Really_Change
8392713,61, Never_Really_Change
8393737,106, cross_pollination
8394761,83, Never_Really_Change
8399881,99, cross_pollination
8400905,114, cross_pollination
8401929,20, cross_pollination
2112527,108, The_last_ones
5250063,104, Never_Really_Change
8392719,74, The_last_ones
8393743,74, The_last_ones
8394767,74, The_last_ones
8399887,74, The_last_ones
8400911,93, The_last_ones
8401935,75, Never_Really_Change
2112528,91, The_last_ones
5250064,91, The_last_ones
8392720,74, The_last_ones
8393744,74, The_last_ones
8394768,74, The_last_ones
8399888,74, The_last_ones
8400912,93, The_last_ones
8401936,19, The_last_ones
2112529,94, The_last_ones
5250065,99, Never_Really_Change
8392721,74, The_last_ones
8393745,75, The_last_ones
8394769,74, The_last_ones
8399889,75, The_last_ones
8400913,84, The_last_ones
8401937,84, The_last_ones
2112530,80, Night_Owl
5250066,36, The_last_ones
8392722,33, The_last_ones
8393746,75, The_last_ones
8394770,33, The_last_ones
8399890,75, The_last_ones
8400914,75, The_last_ones
8401938,69, Night_Owl
2112531,108, The_last_ones
5250067,104, Never_Really_Change
8392723,95, The_last_ones
8393747,88, The_last_ones
8394771,88, The_last_ones
8399891,89, The_last_ones
8400915,89, The_last_ones
8401939,96, Never_Really_Change
2112532,108, The_last_ones
5250068,36, Never_Really_Change
8392724,109, The_last_ones
8393748,90, cross_pollination
8394772,83, Never_Really_Change
8399892,57, Never_Really_Change
8400916,93, The_last_ones
8401940,94, Never_Really_Change
2112533,108, The_last_ones
5250069,91, The_last_ones
8392725,109, The_last_ones
8393749,95, Night_Owl
8394773,95, Never_Really_Change
8399893,20, The_last_ones
8400917,103, The_last_ones
8401941,103, The_last_ones
2112534,124, Never_Really_Change
5250070,99, Never_Really_Change
8392726,61, The_last_ones
8393750,61, The_last_ones
8394774,61, The_last_ones
8399894,61, The_last_ones
8400918,103, The_last_ones
8401942,103, The_last_ones
2112535,53, Night_Owl
5250071,85, Never_Really_Change
8392727,20, The_last_ones
8393751,95, Night_Owl
8394775,107, cross_pollination
8399895,20, The_last_ones
8400919,103, The_last_ones
8401943,103, The_last_ones
3152911,93, The_last_ones
6295567,75, Never_Really_Change
6296591,54, Night_Owl
6297615,96, Night_Owl
6302735,104, Never_Really_Change
6303759,96, Night_Owl
6304783,96, Night_Owl
3149831,109, Never_Really_Change
3150855,104, Never_Really_Change
3151879,124, Never_Really_Change
3156999,103, Never_Really_Change
8389639,41, Never_Really_Change
9438215,41, Never_Really_Change
9445383,114, cross_pollination
9446407,117, cross_pollination
10502151,82, The_last_ones
7356420,117, The_last_ones
5243909,18, Never_Really_Change
6292485,55, Never_Really_Change
6299653,55, Never_Really_Change
6300677,55, Never_Really_Change
7356421,9, Never_Really_Change
5243910,18, Never_Really_Change
6292486,110, Never_Really_Change
6299654,91, Never_Really_Change
7356422,9, Never_Really_Change
7356427,116, Night_Owl
7356428,84, The_last_ones
5243917,109, cross_pollination
6292493,104, Never_Really_Change
6299661,104, Never_Really_Change
6300685,98, Night_Owl
7356429,9, Never_Really_Change
2113537,124, Never_Really_Change
7342081,99, cross_pollination
7343105,61, Never_Really_Change
7344129,110, The_last_ones
7345153,11, Never_Really_Change
7346177,83, Never_Really_Change
7347201,97, Never_Really_Change
7349249,116, Never_Really_Change
7350273,97, Never_Really_Change
7351297,97, Never_Really_Change
7352321,97, Never_Really_Change
7353345,68, The_last_ones
7354369,97, Never_Really_Change
7356417,97, Never_Really_Change
7357441,68, The_last_ones
7358465,68, The_last_ones
7359489,82, The_last_ones
7360513,61, Never_Really_Change
7361537,96, The_last_ones
7362561,96, The_last_ones
8389633,116, Never_Really_Change
8395777,116, Never_Really_Change
8397825,85, Never_Really_Change
8406017,41, The_last_ones
6293505,79, Never_Really_Change
6294529,97, Never_Really_Change
6295553,49, Never_Really_Change
6296577,93, Never_Really_Change
6297601,97, Never_Really_Change
6298625,97, Never_Really_Change
6300673,74, cross_pollination
6301697,49, Never_Really_Change
6302721,79, Never_Really_Change
6303745,67, cross_pollination
6304769,69, The_last_ones
6305793,68, The_last_ones
6307841,68, The_last_ones
6308865,69, The_last_ones
6309889,69, The_last_ones
6310913,83, The_last_ones
6311937,3, Night_Owl
6312961,14, The_last_ones
6313985,55, The_last_ones
7341057,67, cross_pollination
10486785,83, Never_Really_Change
10502145,83, The_last_ones
10508289,83, Never_Really_Change
6293512,79, Never_Really_Change
6294536,97, Never_Really_Change
6295560,49, Never_Really_Change
6296584,102, Never_Really_Change
6297608,102, Never_Really_Change
6298632,97, Never_Really_Change
6300680,108, cross_pollination
6301704,102, Never_Really_Change
6302728,79, Never_Really_Change
6303752,108, cross_pollination
6304776,69, The_last_ones
6305800,97, Never_Really_Change
6307848,97, Never_Really_Change
6308872,69, The_last_ones
6309896,69, The_last_ones
6310920,82, The_last_ones
6311944,3, Night_Owl
6312968,14, The_last_ones
6313992,55, The_last_ones
7341064,113, Born_Ready
7344136,110, The_last_ones
7345160,102, Never_Really_Change
7346184,84, Never_Really_Change
7347208,102, Never_Really_Change
7349256,66, cross_pollination
7351304,97, Never_Really_Change
7352328,102, Never_Really_Change
7357448,12, Never_Really_Change
10486792,113, cross_pollination
10502152,82, The_last_ones
